location	additional_notes
AK	None
AL	None
AR	None
AZ	None
CA	None
CO	None
CT	None
DC	None
DE	None
FL	None
GA	None
HI	None
IA	None
ID	None
IL	Hospital admissions only model was run due to either issues with input data or model
IN	None
KS	Hospital admissions only model was run due to either issues with input data or model
KY	None
LA	Hospital admissions only model was run due to either issues with input data or model
MA	None
MD	None
ME	Hospital admissions only model was run due to either issues with input data or model
MI	None
MN	None
MO	None
MS	None
MT	None
NC	Hospital admissions only model was run due to either issues with input data or model
ND	None
NE	None
NH	Hospital admissions only model was run due to either issues with input data or model
NJ	None
NM	None
NV	None
NY	Hospital admissions only model was run due to either issues with input data or model
OH	Hospital admissions only model was run due to either issues with input data or model
OK	None
OR	None
PA	None
PR	None
RI	None
SC	None
SD	None
TN	None
TX	None
UT	Hospital admissions only model was run due to either issues with input data or model
VA	None
VT	None
WA	None
WI	None
WV	None
WY	None
