"target" "location" "forecast_date" "target_end_date" "quantile" "value" "type" "model_type"
"1 day ahead inc hosp" "02" 2024-04-22 2024-04-23 0.01 0 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-04-22 2024-04-23 0.025 0 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-04-22 2024-04-23 0.05 0 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-04-22 2024-04-23 0.1 0 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-04-22 2024-04-23 0.15 0 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-04-22 2024-04-23 0.2 0 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-04-22 2024-04-23 0.25 0 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-04-22 2024-04-23 0.3 0 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-04-22 2024-04-23 0.35 0 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-04-22 2024-04-23 0.4 0 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-04-22 2024-04-23 0.45 0 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-04-22 2024-04-23 0.5 0 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-04-22 2024-04-23 0.55 0 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-04-22 2024-04-23 0.6 0 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-04-22 2024-04-23 0.65 0 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-04-22 2024-04-23 0.7 1 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-04-22 2024-04-23 0.75 1 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-04-22 2024-04-23 0.8 1 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-04-22 2024-04-23 0.85 2 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-04-22 2024-04-23 0.9 2 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-04-22 2024-04-23 0.95 2 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-04-22 2024-04-23 0.975 3 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-04-22 2024-04-23 0.99 3.01000000000001 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-04-22 2024-04-24 0.01 0 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-04-22 2024-04-24 0.025 0 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-04-22 2024-04-24 0.05 0 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-04-22 2024-04-24 0.1 0 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-04-22 2024-04-24 0.15 0 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-04-22 2024-04-24 0.2 0 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-04-22 2024-04-24 0.25 0 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-04-22 2024-04-24 0.3 0 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-04-22 2024-04-24 0.35 0 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-04-22 2024-04-24 0.4 0 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-04-22 2024-04-24 0.45 0 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-04-22 2024-04-24 0.5 1 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-04-22 2024-04-24 0.55 1 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-04-22 2024-04-24 0.6 1 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-04-22 2024-04-24 0.65 1 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-04-22 2024-04-24 0.7 1 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-04-22 2024-04-24 0.75 1.25000000000001 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-04-22 2024-04-24 0.8 2 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-04-22 2024-04-24 0.85 3 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-04-22 2024-04-24 0.9 3 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-04-22 2024-04-24 0.95 4.05 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-04-22 2024-04-24 0.975 5.52499999999999 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-04-22 2024-04-24 0.99 7 "quantile" "site-level infection dynamics"
"3 day ahead inc hosp" "02" 2024-04-22 2024-04-25 0.01 0 "quantile" "site-level infection dynamics"
"3 day ahead inc hosp" "02" 2024-04-22 2024-04-25 0.025 0 "quantile" "site-level infection dynamics"
"3 day ahead inc hosp" "02" 2024-04-22 2024-04-25 0.05 0 "quantile" "site-level infection dynamics"
"3 day ahead inc hosp" "02" 2024-04-22 2024-04-25 0.1 0 "quantile" "site-level infection dynamics"
"3 day ahead inc hosp" "02" 2024-04-22 2024-04-25 0.15 0 "quantile" "site-level infection dynamics"
"3 day ahead inc hosp" "02" 2024-04-22 2024-04-25 0.2 0 "quantile" "site-level infection dynamics"
"3 day ahead inc hosp" "02" 2024-04-22 2024-04-25 0.25 0 "quantile" "site-level infection dynamics"
"3 day ahead inc hosp" "02" 2024-04-22 2024-04-25 0.3 0 "quantile" "site-level infection dynamics"
"3 day ahead inc hosp" "02" 2024-04-22 2024-04-25 0.35 0 "quantile" "site-level infection dynamics"
"3 day ahead inc hosp" "02" 2024-04-22 2024-04-25 0.4 0 "quantile" "site-level infection dynamics"
"3 day ahead inc hosp" "02" 2024-04-22 2024-04-25 0.45 0 "quantile" "site-level infection dynamics"
"3 day ahead inc hosp" "02" 2024-04-22 2024-04-25 0.5 0 "quantile" "site-level infection dynamics"
"3 day ahead inc hosp" "02" 2024-04-22 2024-04-25 0.55 0.450000000000003 "quantile" "site-level infection dynamics"
"3 day ahead inc hosp" "02" 2024-04-22 2024-04-25 0.6 1 "quantile" "site-level infection dynamics"
