"target" "location" "forecast_date" "target_end_date" "quantile" "value" "type" "model_type"
"1 day ahead inc hosp" "02" 2024-03-25 2024-03-26 0.01 0 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-03-25 2024-03-26 0.025 0 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-03-25 2024-03-26 0.05 0 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-03-25 2024-03-26 0.1 0 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-03-25 2024-03-26 0.15 0 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-03-25 2024-03-26 0.2 0 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-03-25 2024-03-26 0.25 1 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-03-25 2024-03-26 0.3 1 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-03-25 2024-03-26 0.35 1 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-03-25 2024-03-26 0.4 1 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-03-25 2024-03-26 0.45 2 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-03-25 2024-03-26 0.5 2 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-03-25 2024-03-26 0.55 3 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-03-25 2024-03-26 0.6 3 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-03-25 2024-03-26 0.65 3 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-03-25 2024-03-26 0.7 3 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-03-25 2024-03-26 0.75 4 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-03-25 2024-03-26 0.8 5 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-03-25 2024-03-26 0.85 6 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-03-25 2024-03-26 0.9 7 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-03-25 2024-03-26 0.95 7.05 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-03-25 2024-03-26 0.975 9.52499999999999 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-03-25 2024-03-26 0.99 11.05 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-03-25 2024-03-27 0.01 0 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-03-25 2024-03-27 0.025 0 "quantile" "site-level infection dynamics"
