wwtp_jurisdiction,junk1,junk2,wwtp_name,county_names,lab_id,population_served,sample_location,sample_matrix,pcr_target_units,pcr_target,pcr_target_avg_conc,pcr_target_flowpop_lin,lod_sewage,pcr_target_below_lod,sample_collect_date,quality_flag
CA,A,YES,1,04971,1,10000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,8.054115836944005,55.04513393435594,7.443448737491519,0,2023-01-01,NA
CA,A,YES,2,31809,1,30000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,7.8698405584687325,85.47494922884091,1.6125732477322323,0,2023-01-01,temperature not assessed upon arrival at the laboratory
CA,A,YES,4,12078,4,200000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,701.3091712313847,404.0086944333856,13.881587487408053,0,2023-01-01,> max temp and/or hold time
WA,B,Yes,6,31928,1,2000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,244.42352923698678,44.04065263553125,20.924849355634137,0,2023-01-01,NA
WA,B,Yes,7,07528,1,100000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,29.19971609624074,104.3650894301212,2.5731702128827867,0,2023-01-01,NA
WA,B,Yes,9,14396,2,600000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,257.5597420887679,226.42429315424206,10.130901996571637,0,2023-01-01,NA
NM,C,yes,10,27604,5,1000,wwtp,post grit removal,log10 copies/l wastewater,sars-cov-2,2.1236739877669955,40.53356746877808,0.4530527192221311,0,2023-01-01,NA
NM,C,yes,11,91578,6,10000,wwtp,post grit removal,log10 copies/l wastewater,sars-cov-2,2.1399793267291494,651.7571697903521,1.0887289571287273,0,2023-01-01,NA
CA,A,YES,1,04971,1,10000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,318.5878534041641,32.51171069583552,1.9747551214710093,0,2023-01-02,no
CA,A,YES,2,31809,1,30000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,9.897117221594996,90.91045487095828,5.86592310408781,0,2023-01-02,no
CA,A,YES,4,12078,3,200000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,7.332069630582176,67.05837186719428,1.6708185559623274,0,2023-01-02,NA
CA,A,YES,4,12078,4,200000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,9.065560011477302,815.3348623734826,20.646824858007953,0,2023-01-02,NA
WA,B,Yes,6,31928,1,2000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,240.85122185566547,386.36572390749814,1.8340868130391876,0,2023-01-02,temperature not assessed upon arrival at the laboratory
WA,B,Yes,7,07528,1,100000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,544.0669587294154,25.439665117925003,2.382577502458453,0,2023-01-02,> max temp and/or hold time
WA,B,Yes,8,97385,2,50000,wwtp,raw wastewater,copies/l wastewater,sars-cov-2,77.42087123963306,13.356856415392215,5.520118250210656,0,2023-01-02,NA
