"target" "location" "forecast_date" "target_end_date" "quantile" "value" "type" "model_type"
"1 day ahead inc hosp" "02" 2024-02-19 2024-02-20 0.01 2.99 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-02-19 2024-02-20 0.025 3 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-02-19 2024-02-20 0.05 4 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-02-19 2024-02-20 0.1 4 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-02-19 2024-02-20 0.15 5 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-02-19 2024-02-20 0.2 5 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-02-19 2024-02-20 0.25 5 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-02-19 2024-02-20 0.3 5 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-02-19 2024-02-20 0.35 6 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-02-19 2024-02-20 0.4 6 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-02-19 2024-02-20 0.45 6 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-02-19 2024-02-20 0.5 7 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-02-19 2024-02-20 0.55 7 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-02-19 2024-02-20 0.6 7.40000000000001 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-02-19 2024-02-20 0.65 8 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-02-19 2024-02-20 0.7 8 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-02-19 2024-02-20 0.75 9 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-02-19 2024-02-20 0.8 9 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-02-19 2024-02-20 0.85 10.15 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-02-19 2024-02-20 0.9 11 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-02-19 2024-02-20 0.95 12 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-02-19 2024-02-20 0.975 13.525 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-02-19 2024-02-20 0.99 14.01 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-02-19 2024-02-21 0.01 2 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-02-19 2024-02-21 0.025 3 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-02-19 2024-02-21 0.05 3.95 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-02-19 2024-02-21 0.1 5 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-02-19 2024-02-21 0.15 5 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-02-19 2024-02-21 0.2 6 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-02-19 2024-02-21 0.25 6 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-02-19 2024-02-21 0.3 7 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-02-19 2024-02-21 0.35 7 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-02-19 2024-02-21 0.4 7 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-02-19 2024-02-21 0.45 7.55 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-02-19 2024-02-21 0.5 8 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-02-19 2024-02-21 0.55 8 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-02-19 2024-02-21 0.6 9 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-02-19 2024-02-21 0.65 9 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-02-19 2024-02-21 0.7 10 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-02-19 2024-02-21 0.75 10.25 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-02-19 2024-02-21 0.8 11 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-02-19 2024-02-21 0.85 11 "quantile" "site-level infection dynamics"
