location	additional_notes
AK	None
AL	None
AR	None
AZ	None
CA	None
CO	None
CT	None
DC	None
DE	None
FL	None
GA	None
HI	None
IA	None
ID	Hospital admissions only model was run due to either issues with input data or model
IL	None
IN	None
KS	None
KY	None
LA	None
MA	None
MD	None
ME	None
MI	None
MN	None
MO	None
MS	None
MT	None
NC	None
ND	None
NE	None
NH	None
NJ	None
NM	None
NV	None
NY	None
OH	Hospital admissions only model was run due to either issues with input data or model
OK	None
OR	None
PA	None
PR	None
RI	None
SC	None
SD	None
TN	None
TX	None
UT	Hospital admissions only model was run due to either issues with input data or model
VA	Hospital admissions only model was run due to either issues with input data or model
VT	None
WA	None
WI	None
WV	None
WY	None
