"target" "location" "forecast_date" "target_end_date" "quantile" "value" "type" "model_type"
"1 day ahead inc hosp" "02" 2024-04-01 2024-04-02 0.01 0 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-04-01 2024-04-02 0.025 0 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-04-01 2024-04-02 0.05 0 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-04-01 2024-04-02 0.1 0 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-04-01 2024-04-02 0.15 0 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-04-01 2024-04-02 0.2 0 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-04-01 2024-04-02 0.25 0 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-04-01 2024-04-02 0.3 1 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-04-01 2024-04-02 0.35 1 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-04-01 2024-04-02 0.4 1 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-04-01 2024-04-02 0.45 1 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-04-01 2024-04-02 0.5 1 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-04-01 2024-04-02 0.55 1 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-04-01 2024-04-02 0.6 2 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-04-01 2024-04-02 0.65 2 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-04-01 2024-04-02 0.7 2 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-04-01 2024-04-02 0.75 3 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-04-01 2024-04-02 0.8 3 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-04-01 2024-04-02 0.85 4 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-04-01 2024-04-02 0.9 5 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-04-01 2024-04-02 0.95 7 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-04-01 2024-04-02 0.975 7.52499999999999 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-04-01 2024-04-02 0.99 8.01000000000001 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-04-01 2024-04-03 0.01 0 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-04-01 2024-04-03 0.025 0 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-04-01 2024-04-03 0.05 0 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-04-01 2024-04-03 0.1 0 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-04-01 2024-04-03 0.15 0 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-04-01 2024-04-03 0.2 0.800000000000001 "quantile" "site-level infection dynamics"
