location	additional_notes
AK	None
AL	None
AR	None
AZ	None
CA	Hospital admissions only model was run due to either issues with input data or model
CO	None
CT	None
DC	None
DE	None
FL	None
GA	Hospital admissions only model was run due to either issues with input data or model
HI	None
IA	None
ID	None
IL	Hospital admissions only model was run due to either issues with input data or model
IN	None
KS	None
KY	None
LA	None
MA	None
MD	None
ME	None
MI	None
MN	None
MO	None
MS	None
MT	None
NC	None
ND	None
NE	None
NH	Hospital admissions only model was run due to either issues with input data or model
NJ	None
NM	None
NV	None
NY	Hospital admissions only model was run due to either issues with input data or model
OH	None
OK	None
OR	None
PA	None
PR	None
RI	None
SC	Hospital admissions only model was run due to either issues with input data or model
SD	None
TN	None
TX	None
UT	None
VA	None
VT	None
WA	None
WI	None
WV	None
WY	None
