"target" "location" "forecast_date" "target_end_date" "quantile" "value" "type" "model_type"
"1 day ahead inc hosp" "02" 2024-02-12 2024-02-13 0.01 1 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-02-12 2024-02-13 0.025 2 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-02-12 2024-02-13 0.05 2 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-02-12 2024-02-13 0.1 3 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-02-12 2024-02-13 0.15 3 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-02-12 2024-02-13 0.2 4 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-02-12 2024-02-13 0.25 4.75 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-02-12 2024-02-13 0.3 5 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-02-12 2024-02-13 0.35 5.65000000000001 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-02-12 2024-02-13 0.4 6 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-02-12 2024-02-13 0.45 6 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-02-12 2024-02-13 0.5 6 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-02-12 2024-02-13 0.55 7 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-02-12 2024-02-13 0.6 7 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-02-12 2024-02-13 0.65 8 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-02-12 2024-02-13 0.7 8 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-02-12 2024-02-13 0.75 8.25000000000001 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-02-12 2024-02-13 0.8 9 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-02-12 2024-02-13 0.85 10 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-02-12 2024-02-13 0.9 11.1 "quantile" "site-level infection dynamics"
