"target" "location" "forecast_date" "target_end_date" "quantile" "value" "type" "model_type"
"1 day ahead inc hosp" "02" 2024-02-26 2024-02-27 0.01 1.99 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-02-26 2024-02-27 0.025 2 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-02-26 2024-02-27 0.05 2.95 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-02-26 2024-02-27 0.1 3 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-02-26 2024-02-27 0.15 3 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-02-26 2024-02-27 0.2 4 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-02-26 2024-02-27 0.25 4 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-02-26 2024-02-27 0.3 4.7 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-02-26 2024-02-27 0.35 5 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-02-26 2024-02-27 0.4 5 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-02-26 2024-02-27 0.45 5 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-02-26 2024-02-27 0.5 6 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-02-26 2024-02-27 0.55 6 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-02-26 2024-02-27 0.6 7 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-02-26 2024-02-27 0.65 7 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-02-26 2024-02-27 0.7 7.30000000000001 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-02-26 2024-02-27 0.75 8 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-02-26 2024-02-27 0.8 9 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-02-26 2024-02-27 0.85 9 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-02-26 2024-02-27 0.9 10 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-02-26 2024-02-27 0.95 12 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-02-26 2024-02-27 0.975 12.525 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-02-26 2024-02-27 0.99 13.01 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-02-26 2024-02-28 0.01 1.99 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-02-26 2024-02-28 0.025 3 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-02-26 2024-02-28 0.05 3 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-02-26 2024-02-28 0.1 4 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-02-26 2024-02-28 0.15 5 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-02-26 2024-02-28 0.2 5 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-02-26 2024-02-28 0.25 5.75 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-02-26 2024-02-28 0.3 6 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-02-26 2024-02-28 0.35 7 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-02-26 2024-02-28 0.4 7 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-02-26 2024-02-28 0.45 7 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-02-26 2024-02-28 0.5 8 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-02-26 2024-02-28 0.55 8 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-02-26 2024-02-28 0.6 8.40000000000001 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-02-26 2024-02-28 0.65 9 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-02-26 2024-02-28 0.7 10 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-02-26 2024-02-28 0.75 10 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-02-26 2024-02-28 0.8 10.2 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-02-26 2024-02-28 0.85 11 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-02-26 2024-02-28 0.9 12 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-02-26 2024-02-28 0.95 13.05 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-02-26 2024-02-28 0.975 15.05 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-02-26 2024-02-28 0.99 17.02 "quantile" "site-level infection dynamics"
"3 day ahead inc hosp" "02" 2024-02-26 2024-02-29 0.01 1 "quantile" "site-level infection dynamics"
"3 day ahead inc hosp" "02" 2024-02-26 2024-02-29 0.025 1 "quantile" "site-level infection dynamics"
"3 day ahead inc hosp" "02" 2024-02-26 2024-02-29 0.05 1.95 "quantile" "site-level infection dynamics"
"3 day ahead inc hosp" "02" 2024-02-26 2024-02-29 0.1 2.9 "quantile" "site-level infection dynamics"
"3 day ahead inc hosp" "02" 2024-02-26 2024-02-29 0.15 3 "quantile" "site-level infection dynamics"
"3 day ahead inc hosp" "02" 2024-02-26 2024-02-29 0.2 4 "quantile" "site-level infection dynamics"
"3 day ahead inc hosp" "02" 2024-02-26 2024-02-29 0.25 4 "quantile" "site-level infection dynamics"
"3 day ahead inc hosp" "02" 2024-02-26 2024-02-29 0.3 4 "quantile" "site-level infection dynamics"
"3 day ahead inc hosp" "02" 2024-02-26 2024-02-29 0.35 5 "quantile" "site-level infection dynamics"
"3 day ahead inc hosp" "02" 2024-02-26 2024-02-29 0.4 5 "quantile" "site-level infection dynamics"
"3 day ahead inc hosp" "02" 2024-02-26 2024-02-29 0.45 5 "quantile" "site-level infection dynamics"
"3 day ahead inc hosp" "02" 2024-02-26 2024-02-29 0.5 6 "quantile" "site-level infection dynamics"
"3 day ahead inc hosp" "02" 2024-02-26 2024-02-29 0.55 6 "quantile" "site-level infection dynamics"
