location	additional_notes
AK	None
AL	None
AR	None
AZ	None
CA	None
CO	None
CT	None
DC	None
DE	None
FL	Hospital admissions only model was run due to either issues with input data or model
GA	None
HI	None
IA	None
ID	None
IL	Hospital admissions only model was run due to either issues with input data or model
IN	Hospital admissions only model was run due to either issues with input data or model
KS	None
KY	None
LA	None
MA	None
MD	None
ME	None
MI	None
MN	None
MO	None
MS	None
MT	None
NC	None
ND	None
NE	None
NH	None
NJ	None
NM	None
NV	None
NY	None
OH	Hospital admissions only model was run due to either issues with input data or model
OK	None
OR	None
PA	Hospital admissions only model was run due to either issues with input data or model
PR	None
RI	None
SC	None
SD	None
TN	None
TX	None
UT	None
VA	Hospital admissions only model was run due to either issues with input data or model
VT	None
WA	None
WI	None
WV	None
WY	None
