location	additional_notes
AK	None
AL	None
AR	None
AZ	None
CA	None
CO	None
CT	None
DC	None
DE	None
FL	Hospital admissions only model was run due to either issues with input data or model
GA	Hospital admissions only model was run due to either issues with input data or model
HI	None
IA	None
ID	None
IL	Hospital admissions only model was run due to either issues with input data or model
IN	None
KS	Hospital admissions only model was run due to either issues with input data or model
KY	None
LA	None
MA	None
MD	None
ME	None
MI	None
MN	None
MO	None
MS	None
MT	None
NC	None
ND	None
NE	None
NH	None
NJ	None
NM	None
NV	None
NY	Hospital admissions only model was run due to either issues with input data or model
OH	None
OK	None
OR	None
PA	None
PR	None
RI	None
SC	None
SD	None
TN	None
TX	None
UT	None
VA	None
VT	None
WA	None
WI	None
WV	None
WY	None
