"target" "location" "forecast_date" "target_end_date" "quantile" "value" "type" "model_type"
"1 day ahead inc hosp" "02" 2024-04-15 2024-04-16 0.01 0 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-04-15 2024-04-16 0.025 0 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-04-15 2024-04-16 0.05 0 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-04-15 2024-04-16 0.1 0 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-04-15 2024-04-16 0.15 0 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-04-15 2024-04-16 0.2 0 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-04-15 2024-04-16 0.25 0 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-04-15 2024-04-16 0.3 0 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-04-15 2024-04-16 0.35 0 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-04-15 2024-04-16 0.4 0 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-04-15 2024-04-16 0.45 0 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-04-15 2024-04-16 0.5 0 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-04-15 2024-04-16 0.55 0 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-04-15 2024-04-16 0.6 0 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-04-15 2024-04-16 0.65 1 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-04-15 2024-04-16 0.7 1 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-04-15 2024-04-16 0.75 1 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-04-15 2024-04-16 0.8 1 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-04-15 2024-04-16 0.85 1 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-04-15 2024-04-16 0.9 2 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-04-15 2024-04-16 0.95 2 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-04-15 2024-04-16 0.975 2 "quantile" "site-level infection dynamics"
"1 day ahead inc hosp" "02" 2024-04-15 2024-04-16 0.99 3.01000000000001 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-04-15 2024-04-17 0.01 0 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-04-15 2024-04-17 0.025 0 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-04-15 2024-04-17 0.05 0 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-04-15 2024-04-17 0.1 0 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-04-15 2024-04-17 0.15 0 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-04-15 2024-04-17 0.2 0 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-04-15 2024-04-17 0.25 0 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-04-15 2024-04-17 0.3 0 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-04-15 2024-04-17 0.35 0 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-04-15 2024-04-17 0.4 0 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-04-15 2024-04-17 0.45 0 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-04-15 2024-04-17 0.5 0 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-04-15 2024-04-17 0.55 0 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-04-15 2024-04-17 0.6 0 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-04-15 2024-04-17 0.65 0 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-04-15 2024-04-17 0.7 1 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-04-15 2024-04-17 0.75 1 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-04-15 2024-04-17 0.8 1 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-04-15 2024-04-17 0.85 2 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-04-15 2024-04-17 0.9 2 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-04-15 2024-04-17 0.95 4.05 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-04-15 2024-04-17 0.975 5 "quantile" "site-level infection dynamics"
"2 day ahead inc hosp" "02" 2024-04-15 2024-04-17 0.99 5 "quantile" "site-level infection dynamics"
"3 day ahead inc hosp" "02" 2024-04-15 2024-04-18 0.01 0 "quantile" "site-level infection dynamics"
"3 day ahead inc hosp" "02" 2024-04-15 2024-04-18 0.025 0 "quantile" "site-level infection dynamics"
"3 day ahead inc hosp" "02" 2024-04-15 2024-04-18 0.05 0 "quantile" "site-level infection dynamics"
"3 day ahead inc hosp" "02" 2024-04-15 2024-04-18 0.1 0 "quantile" "site-level infection dynamics"
"3 day ahead inc hosp" "02" 2024-04-15 2024-04-18 0.15 0 "quantile" "site-level infection dynamics"
"3 day ahead inc hosp" "02" 2024-04-15 2024-04-18 0.2 0 "quantile" "site-level infection dynamics"
"3 day ahead inc hosp" "02" 2024-04-15 2024-04-18 0.25 0 "quantile" "site-level infection dynamics"
"3 day ahead inc hosp" "02" 2024-04-15 2024-04-18 0.3 0 "quantile" "site-level infection dynamics"
"3 day ahead inc hosp" "02" 2024-04-15 2024-04-18 0.35 0 "quantile" "site-level infection dynamics"
"3 day ahead inc hosp" "02" 2024-04-15 2024-04-18 0.4 0 "quantile" "site-level infection dynamics"
"3 day ahead inc hosp" "02" 2024-04-15 2024-04-18 0.45 0 "quantile" "site-level infection dynamics"
"3 day ahead inc hosp" "02" 2024-04-15 2024-04-18 0.5 0 "quantile" "site-level infection dynamics"
"3 day ahead inc hosp" "02" 2024-04-15 2024-04-18 0.55 0 "quantile" "site-level infection dynamics"
"3 day ahead inc hosp" "02" 2024-04-15 2024-04-18 0.6 1 "quantile" "site-level infection dynamics"
"3 day ahead inc hosp" "02" 2024-04-15 2024-04-18 0.65 1 "quantile" "site-level infection dynamics"
"3 day ahead inc hosp" "02" 2024-04-15 2024-04-18 0.7 1 "quantile" "site-level infection dynamics"
"3 day ahead inc hosp" "02" 2024-04-15 2024-04-18 0.75 1 "quantile" "site-level infection dynamics"
"3 day ahead inc hosp" "02" 2024-04-15 2024-04-18 0.8 2 "quantile" "site-level infection dynamics"
"3 day ahead inc hosp" "02" 2024-04-15 2024-04-18 0.85 2 "quantile" "site-level infection dynamics"
