location	additional_notes
AK	None
AL	None
AR	None
AZ	None
CA	None
CO	None
CT	None
DC	Wastewater data is unavailable for recent time-points, forecast not likely to be informed by wastewater
DE	None
FL	None
GA	None
HI	None
IA	None
ID	None
IL	Hospital admissions only model was run due to either issues with input data or model
IN	None
KS	None
KY	No wastewater data available
LA	No wastewater data available
MA	None
MD	None
ME	None
MI	None
MN	Hospital admissions only model was run due to either issues with input data or model
MO	None
MS	No wastewater data available
MT	None
NC	None
ND	No wastewater data available
NE	None
NH	None
NJ	None
NM	Wastewater data is unavailable for recent time-points, forecast not likely to be informed by wastewater
NV	None
NY	None
OH	Hospital admissions only model was run due to either issues with input data or model
OK	None
OR	None
PA	None
PR	No wastewater data available
RI	None
SC	None
SD	None
TN	None
TX	None
UT	None
VA	None
VT	No wastewater data available
WA	Wastewater data is unavailable for recent time-points, forecast not likely to be informed by wastewater
WI	None
WV	None
WY	None
